id,synset,synonyms,def,instance_count,image_count,frequency,,,,,,
944,shepherd_dog.n.01,shepherd_dog|sheepdog,any of various usually long-haired breeds of dog reared to herd and guard sheep,2,2,r,,,,,,
990,soya_milk.n.01,soya_milk|soybean_milk|soymilk,a milk substitute containing soybean flour and water, used in some infant formulas and in making tofu,2,1,r,,,,,
1054,taco.n.02,taco,a small tortilla cupped around a filling,21,2,r,,,,,,
1080,tequila.n.01,tequila,Mexican liquor made from fermented juices of an agave plant,2,2,r,,,,,,
1135,unicycle.n.01,unicycle,a vehicle with a single wheel that is driven by pedals,2,2,r,,,,,,
17,arctic.n.02,arctic_(type_of_shoe)|galosh|golosh|rubber_(type_of_shoe)|gumshoe,a waterproof overshoe that protects shoes from water or snow,8,3,r,,,,,,
39,baguet.n.01,baguet|baguette,narrow French stick loaf,9,3,r,,,,,,
49,banjo.n.01,banjo,a stringed instrument of the guitar family with a long neck and circular body,3,3,r,,,,,,
71,beach_ball.n.01,beachball,large and light ball, for play at the seaside,3,3,r,,,,,
238,checkerboard.n.01,checkerboard,a board having 64 squares of two alternating colors,3,3,r,,,,,,
300,convertible.n.01,convertible_(automobile),a car that has top that can be folded or removed,4,3,r,,,,,,
355,dalmatian.n.02,dalmatian,a large breed having a smooth white coat with black or brown spots,3,3,r,,,,,,
389,dragonfly.n.01,dragonfly,slender-bodied non-stinging insect having iridescent wings that are outspread at rest,8,3,r,,,,,,
428,falcon.n.01,falcon,birds of prey having long pointed powerful wings adapted for swift flight,3,3,r,,,,,,
439,file.n.04,file_(tool),a steel hand tool with small sharp teeth on some or all of its surfaces, used for smoothing wood or metal,3,3,r,,,,,
486,gargoyle.n.02,gargoyle,an ornament consisting of a grotesquely carved figure of a person or animal,8,3,r,,,,,,
503,goldfish.n.01,goldfish,small golden or orange-red freshwater fishes used as pond or aquarium pets,11,3,r,,,,,,
516,griddle.n.01,griddle,cooking utensil consisting of a flat heated surface on which food is cooked,4,3,r,,,,,,
518,grits.n.01,grits|hominy_grits,coarsely ground corn boiled as a breakfast dish,3,3,r,,,,,,
567,hookah.n.01,hookah|narghile|nargileh|sheesha|shisha|water_pipe,a tobacco pipe with a long flexible tube connected to a container where the smoke is cooled by passing through water,3,3,r,,,,,,
571,hot-air_balloon.n.01,hot-air_balloon,balloon for travel through the air in a basket suspended below a large bag of heated air,4,3,r,,,,,,
594,jelly_bean.n.01,jelly_bean|jelly_egg,sugar-glazed jellied candy,116,3,r,,,,,,
602,keg.n.02,keg,small cask or barrel,6,3,r,,,,,,
671,martini.n.01,martini,a cocktail made of gin (or vodka) with dry vermouth,3,3,r,,,,,,
727,nutcracker.n.01,nutcracker,a hand tool used to crack nuts open,7,3,r,,,,,,
784,pencil_sharpener.n.01,pencil_sharpener,a rotary implement for sharpening the point on pencils,4,3,r,,,,,,
809,pinwheel.n.03,pinwheel,a toy consisting of vanes of colored paper or plastic that is pinned to a stick and spins when it is pointed into the wind,172,3,r,,,,,,
820,playpen.n.01,playpen,a portable enclosure in which babies may be left to play,3,3,r,,,,,,
855,punch.n.03,puncher,a tool for making holes or indentations,6,3,r,,,,,,
856,puppet.n.01,puppet|marionette,a small figure of a person operated from above with strings by a puppeteer,18,3,r,,,,,,
862,racer.n.02,race_car|racing_car,a fast car that competes in races,6,3,r,,,,,,
887,road_map.n.02,road_map,(NOT A ROAD) a MAP showing roads (for automobile travel),3,3,r,,,,,,
894,root_beer.n.01,root_beer,carbonated drink containing extracts of roots and herbs,3,3,r,,,,,,
920,scarecrow.n.01,scarecrow|strawman,an effigy in the shape of a man to frighten birds away from seeds,4,3,r,,,,,,
938,sharpie.n.03,Sharpie,a pen with indelible ink that will write on any surface,5,3,r,,,,,,
1126,tub.n.02,vat,a large vessel for holding or storing liquids,15,3,r,,,,,,
1146,vodka.n.01,vodka,unaged colorless liquor originating in Russia,3,3,r,,,,,,
13,applesauce.n.01,applesauce,puree of stewed apples usually sweetened and spiced,7,4,r,,,,,,
51,barbell.n.01,barbell,a bar to which heavy discs are attached at each end, used in weightlifting,4,3,r,,,,,
63,bass_horn.n.01,bass_horn|sousaphone|tuba,the lowest brass wind instrument,6,4,r,,,,,,
82,beeper.n.01,beeper|pager,an device that beeps when the person carrying it is being paged,4,4,r,,,,,,
147,brass.n.07,brass_plaque,a memorial made of brass,4,4,r,,,,,,
159,bubble_gum.n.01,bubble_gum,a kind of chewing gum that can be blown into bubbles,4,4,r,,,,,,
164,bulldozer.n.01,bulldozer|dozer,large powerful tractor, a large blade in front flattens areas of ground,4,3,r,,,,,
196,candy_bar.n.01,candy_bar,a candy shaped as a bar,29,4,r,,,,,,
231,chain_mail.n.01,chain_mail|ring_mail|chain_armor|chain_armour|ring_armor|ring_armour,(Middle Ages) flexible armor made of interlinked metal rings,13,4,r,,,,,,
250,chocolate_milk.n.01,chocolate_milk,milk flavored with chocolate syrup,7,4,r,,,,,,
257,cider.n.01,cider|cyder,a beverage made from juice pressed from apples,38,4,r,,,,,,
282,cocoa.n.01,cocoa_(beverage)|hot_chocolate_(beverage)|drinking_chocolate,a beverage made from cocoa powder and milk and sugar, usually drunk hot,4,2,r,,,,,
301,convertible.n.03,sofa_bed,a sofa that can be converted into a bed,5,4,r,,,,,,
357,date.n.08,date_(fruit),sweet edible fruit of the date palm with a single long woody seed,103,4,r,,,,,,
413,eclair.n.01,eclair,oblong cream puff,39,4,r,,,,,,
432,ferret.n.02,ferret,domesticated albino variety of the European polecat bred for hunting rats and rabbits,5,4,r,,,,,,
435,fig.n.04,fig_(fruit),fleshy sweet pear-shaped yellowish or purple fruit eaten fresh or preserved or dried,147,4,r,,,,,,
467,football_helmet.n.01,football_helmet,a padded helmet with a face mask to protect the head of football players,7,4,r,,,,,,
481,gag.n.02,gag|muzzle,restraint put into a person's mouth to prevent speaking or shouting,4,4,r,,,,,,
532,hamper.n.02,hamper,a basket usually with a cover,5,4,r,,,,,,
541,handsaw.n.01,handsaw|carpenter's_saw,a saw used with one hand for cutting wood,5,4,r,,,,,,
545,hatbox.n.01,hatbox,a round piece of luggage for carrying hats,7,4,r,,,,,,
557,heron.n.02,heron,grey or white wading bird with long neck and long legs and (usually) long bill,6,4,r,,,,,,
583,ice_skate.n.01,ice_skate,skate consisting of a boot with a steel blade fitted to the sole,14,4,r,,,,,,
603,kennel.n.01,kennel|doghouse,outbuilding that serves as a shelter for a dog,4,4,r,,,,,,
625,lamb_chop.n.01,lamb-chop|lambchop,chop cut from a lamb,8,4,r,,,,,,
688,milestone.n.01,milestone|milepost,stone post at side of a road to show distances,5,4,r,,,,,,
722,nosebag.n.01,nosebag_(for_animals)|feedbag,a canvas bag that is used to feed an animal (such as a horse), covers the muzzle and fastens at the top of the head,4,4,r,,,,,
743,pad.n.03,inkpad|inking_pad|stamp_pad,absorbent material saturated with ink used to transfer ink evenly to a rubber stamp,12,4,r,,,,,,
803,piggy_bank.n.01,piggy_bank|penny_bank,a child's coin bank (often shaped like a pig),5,4,r,,,,,,
808,ping-pong_ball.n.01,ping-pong_ball,light hollow ball used in playing table tennis,4,4,r,,,,,,
815,pitchfork.n.01,pitchfork,a long-handled hand tool with sharp widely spaced prongs for lifting and pitching hay,4,4,r,,,,,,
917,sawhorse.n.01,sawhorse|sawbuck,a framework for holding wood that is being sawed,5,4,r,,,,,,
931,seaplane.n.01,seaplane|hydroplane,an airplane that can land on or take off from water,4,4,r,,,,,,
994,spear.n.01,spear|lance,a long pointed rod used as a tool or weapon,9,4,r,,,,,,
1148,vulture.n.01,vulture,any of various large birds of prey having naked heads and weak claws and feeding chiefly on carrion,16,4,r,,,,,,
1150,waffle_iron.n.01,waffle_iron,a kitchen appliance for baking waffles,4,4,r,,,,,,
131,boom.n.04,boom_microphone|microphone_boom,a pole carrying an overhead microphone projected over a film or tv set,10,5,r,,,,,,
142,bowling_ball.n.01,bowling_ball,a large ball with finger holes used in the sport of bowling,38,5,r,,,,,,
167,bulletproof_vest.n.01,bulletproof_vest,a vest capable of resisting the impact of a bullet,27,5,r,,,,,,
222,casserole.n.01,casserole,food cooked and served in a casserole,12,5,r,,,,,,
245,chinaware.n.01,chinaware,dishware made of high quality porcelain,41,5,r,,,,,,
266,clementine.n.01,clementine,a variety of mandarin orange,108,5,r,,,,,,
287,coil.n.05,coil,tubing that is wound in a spiral,7,5,r,,,,,,
294,comic_book.n.01,comic_book,a magazine devoted to comic strips,97,5,r,,,,,,
316,cougar.n.01,cougar|puma|catamount|mountain_lion|panther,large American feline resembling a lion,6,5,r,,,,,,
317,coverall.n.01,coverall,a loose-fitting protective garment that is worn over other clothing,12,5,r,,,,,,
323,crape.n.01,crape|crepe|French_pancake,small very thin pancake,12,5,r,,,,,,
366,dinghy.n.01,dinghy|dory|rowboat,a small boat of shallow draft with seats and oars with which it is propelled,15,5,r,,,,,,
508,gorilla.n.01,gorilla,largest ape,10,5,r,,,,,,
561,hockey_stick.n.01,hockey_stick,sports implement consisting of a stick used by hockey players to move the puck,15,5,r,,,,,,
572,hot_plate.n.01,hotplate,a portable electric appliance for heating or cooking or keeping food warm,6,5,r,,,,,,
632,lasagna.n.01,lasagna|lasagne,baked dish of layers of lasagna pasta with sauce and cheese and meat or vegetables,7,5,r,,,,,,
729,octopus.n.01,octopus_(food),tentacles of octopus prepared as food,5,5,r,,,,,,
772,patty.n.01,patty_(food),small flat mass of chopped food,20,5,r,,,,,,
823,plume.n.02,plume,a feather or cluster of feathers worn as an ornament,11,5,r,,,,,,
824,pocket_watch.n.01,pocket_watch,a watch that is carried in a small watch pocket,20,5,r,,,,,,
864,radar.n.01,radar,measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects,13,5,r,,,,,,
937,sharpener.n.01,sharpener,any implement that is used to make something (an edge or a point) sharper,7,5,r,,,,,,
952,shot_glass.n.01,shot_glass,a small glass adequate to hold a single swallow of whiskey,24,5,r,,,,,,
983,softball.n.01,softball,ball used in playing softball,5,5,r,,,,,,
1012,step_ladder.n.01,stepladder,a folding portable ladder hinged at the top,5,5,r,,,,,,
1015,stew.n.02,stew,food prepared by stewing especially meat or fish with vegetables,7,5,r,,,,,,
1029,stylus.n.02,stylus,"a pointed tool for writing or drawing or engraving, including pens",11,5,r,,,,,,
1047,syringe.n.01,syringe,a medical instrument used to inject or withdraw fluids,14,5,r,,,,,,
1048,tabasco.n.02,Tabasco_sauce,very spicy sauce (trade name Tabasco) made from fully-aged red peppers,5,5,r,,,,,,
1049,table-tennis_table.n.01,table-tennis_table|ping-pong_table,a table used for playing table tennis,5,5,r,,,,,,
1193,wolf.n.01,wolf,"a wild carnivorous mammal of the dog family, living and hunting in packs",16,5,r,,,,,,
38,bagpipe.n.01,bagpipe,a tubular wind instrument, the player blows air into a bag and squeezes it out,6,3,r,,,,,
42,ballet_skirt.n.01,ballet_skirt|tutu,very short skirt worn by ballerinas,12,6,r,,,,,,
69,batter.n.02,batter_(food),"a liquid or semiliquid mixture, as of flour, eggs, and milk, used in cooking",26,6,r,,,,,,
126,bonnet.n.01,bonnet,a hat tied under the chin,10,6,r,,,,,,
136,bow.n.04,bow_(weapon),a weapon for shooting arrows,6,6,r,,,,,,
155,brooch.n.01,broach,a decorative pin worn by women,9,6,r,,,,,,
215,carnation.n.01,carnation,plant with pink to purple-red spice-scented usually double flowers,22,6,r,,,,,,
307,corkboard.n.01,corkboard,a sheet consisting of cork granules,7,6,r,,,,,,
368,dinner_jacket.n.01,tux|tuxedo,semiformal evening dress for men,10,6,r,,,,,,
405,dumbbell.n.01,dumbbell,an exercising weight with two ball-like ends connected by a short handle,13,6,r,,,,,,
416,egg_roll.n.01,egg_roll|spring_roll,minced vegetables and meat wrapped in a pancake and fried,15,6,r,,,,,,
509,gourd.n.02,gourd,any of numerous inedible fruits with hard rinds,101,6,r,,,,,,
585,inhaler.n.01,inhaler|inhalator,a dispenser that produces a chemical vapor to be inhaled through mouth or nose,7,6,r,,,,,,
646,lightning_rod.n.02,lightning_rod|lightning_conductor,a metallic conductor that is attached to a high point and leads to the ground,6,6,r,,,,,,
648,limousine.n.01,limousine,long luxurious car, usually driven by a chauffeur,6,5,r,,,,,
651,liquor.n.01,liquor|spirits|hard_liquor|liqueur|cordial,liquor or beer,66,6,r,,,,,,
710,music_stool.n.01,music_stool|piano_stool,a stool for piano players, usually adjustable in height,6,6,r,,,,,
788,penny.n.02,penny_(coin),a coin worth one-hundredth of the value of the basic unit,15,6,r,,,,,,
873,rat.n.01,rat,any of various long-tailed rodents similar to but larger than a mouse,6,6,r,,,,,,
942,shears.n.01,shears,large scissors with strong blades,38,6,r,,,,,,
958,shredder.n.01,shredder_(for_paper),a device that shreds documents,6,6,r,,,,,,
1084,thimble.n.02,thimble,a small metal cap to protect the finger while sewing, can be used as a small container,6,4,r,,,,,
30,ax.n.01,ax|axe,an edge tool with a heavy bladed head mounted across a handle,8,7,r,,,,,,
105,birthday_card.n.01,birthday_card,a card expressing a birthday greeting,23,7,r,,,,,,
130,bookmark.n.01,bookmark|bookmarker,a marker (a piece of paper or ribbon) placed between the pages of a book,15,7,r,,,,,,
209,car.n.04,elevator_car,where passengers ride up and down,10,7,r,,,,,,
223,cassette.n.01,cassette,a container that holds a magnetic tape used for recording or playing sound or video,74,7,r,,,,,,
326,cream_pitcher.n.01,cream_pitcher,a small pitcher for serving cream,10,7,r,,,,,,
362,detergent.n.01,detergent,a surface-active chemical widely used in industry and laundering,11,7,r,,,,,,
407,dustpan.n.02,dustpan,a short-handled receptacle into which dust can be swept,7,7,r,,,,,,
427,eyepatch.n.01,eyepatch,a protective cloth covering for an injured eye,9,7,r,,,,,,
449,fishbowl.n.02,fishbowl|goldfish_bowl,a transparent bowl in which small fish are kept,33,7,r,,,,,,
535,hand_glass.n.01,hand_glass|hand_mirror,a mirror intended to be held in the hand,7,7,r,,,,,,
551,headset.n.01,headset,receiver consisting of a pair of headphones,10,7,r,,,,,,
620,lab_coat.n.01,lab_coat|laboratory_coat,a light coat worn to protect clothing from substances used while working in a laboratory,42,7,r,,,,,,
635,leather.n.01,leather,an animal skin made smooth and flexible by removing the hair and then tanning,20,7,r,,,,,,
712,nailfile.n.01,nailfile,a small flat file for shaping the nails,10,7,r,,,,,,
752,pan.n.03,pan_(metal_container),shallow container made of metal,21,7,r,,,,,,
796,phonebook.n.01,phonebook|telephone_book|telephone_directory,a directory containing an alphabetical list of telephone subscribers and their telephone numbers,24,7,r,,,,,,
805,pin.n.09,pin_(non_jewelry),a small slender (often pointed) piece of wood or metal used to support or fasten or attach things,112,7,r,,,,,,
810,pipe.n.01,tobacco_pipe,a tube with a small bowl at one end, used for smoking tobacco,7,7,r,,,,,
812,pistol.n.01,pistol|handgun,a firearm that is held and fired with one hand,9,7,r,,,,,,
1053,tachometer.n.01,tachometer,measuring instrument for indicating speed of rotation,10,7,r,,,,,,
1058,tank.n.01,army_tank|armored_combat_vehicle|armoured_combat_vehicle,an enclosed armored military vehicle, has a cannon and moves on caterpillar treads,7,5,r,,,,,
1116,trampoline.n.01,trampoline,gymnastic apparatus consisting of a strong canvas sheet attached with springs to a metal frame,7,7,r,,,,,,
1129,turnip.n.01,turnip,widely cultivated plant having a large fleshy edible white or yellow root,109,7,r,,,,,,
1165,water_heater.n.01,water_heater|hot-water_heater,a heater and storage tank to supply heated water,7,7,r,,,,,,
20,armoire.n.01,armoire,a large wardrobe or cabinet,11,8,r,,,,,,
117,board.n.09,gameboard,a flat portable surface (usually rectangular) designed for board games,17,8,r,,,,,,
144,boxing_glove.n.01,boxing_glove,large glove coverings the fists of a fighter worn for the sport of boxing,22,8,r,,,,,,
214,cargo_ship.n.01,cargo_ship|cargo_vessel,a ship designed to carry cargo,15,8,r,,,,,,
292,combination_lock.n.01,combination_lock,lock that can be opened only by turning dials in a special sequence,13,8,r,,,,,,
374,dishwasher_detergent.n.01,dishwasher_detergent|dishwashing_detergent|dishwashing_liquid|dishsoap,dishsoap or dish detergent designed for use in dishwashers,9,8,r,,,,,,
431,fedora.n.01,fedora,a hat made of felt with a creased crown,14,8,r,,,,,,
456,flash.n.10,flash|flashbulb,a lamp for providing momentary light to take a photograph,10,8,r,,,,,,
506,gondola.n.02,gondola_(boat),long narrow flat-bottomed boat propelled by sculling, traditionally used on canals of Venice,8,3,r,,,,,
560,hippopotamus.n.01,hippopotamus,massive thick-skinned animal living in or around rivers of tropical Africa,24,8,r,,,,,,
577,hummus.n.01,hummus|humus|hommos|hoummos|humous,a thick spread made from mashed chickpeas,9,8,r,,,,,,
619,koala.n.01,koala|koala_bear,sluggish tailless Australian marsupial with grey furry ears and coat,15,8,r,,,,,,
663,mallet.n.01,mallet,a sports implement with a long handle and a hammer-like head used to hit a ball,16,8,r,,,,,,
779,pegboard.n.01,pegboard,a board perforated with regularly spaced holes into which pegs can be fitted,9,8,r,,,,,,
785,pendulum.n.01,pendulum,an apparatus consisting of an object mounted so that it swings freely under the influence of gravity,18,8,r,,,,,,
787,pennant.n.02,pennant,a flag longer than it is wide (and often tapering),235,8,r,,,,,,
